Column1;Column2;Column3;Column4
-BEGIN HEADER-;;;
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ;;;
Dates (month/day/year): 01/01/2000 through 12/31/2019 ;;;
Location: Latitude  12.2667   Longitude 2.15 ;;;
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 251.09 meters;;;
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ;;;
Parameter(s): ;;;
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) ;;;
-END HEADER-;;;
YEAR;MO;DY;RH2M
2000;1;1;25.44
2000;1;2;23.5
2000;1;3;18.06
2000;1;4;24.31
2000;1;5;29.56
2000;1;6;31.12
2000;1;7;30.38
2000;1;8;32.56
2000;1;9;31.31
2000;1;10;29.44
2000;1;11;29.44
2000;1;12;29.56
2000;1;13;28.62
2000;1;14;29.94
2000;1;15;28.31
2000;1;16;25.88
2000;1;17;26.75
2000;1;18;24.94
2000;1;19;22.69
2000;1;20;30.0
2000;1;21;33.19
2000;1;22;22.19
2000;1;23;22.75
2000;1;24;22.19
2000;1;25;35.38
2000;1;26;18.81
2000;1;27;14.12
2000;1;28;17.69
2000;1;29;16.0
2000;1;30;18.56
2000;1;31;21.25
2000;2;1;19.38
2000;2;2;17.94
2000;2;3;16.88
2000;2;4;18.0
2000;2;5;16.31
2000;2;6;14.75
2000;2;7;16.75
2000;2;8;21.75
2000;2;9;17.88
2000;2;10;16.19
2000;2;11;15.62
2000;2;12;14.56
2000;2;13;13.38
2000;2;14;13.12
2000;2;15;14.06
2000;2;16;14.25
2000;2;17;14.0
2000;2;18;16.19
2000;2;19;16.88
2000;2;20;16.81
2000;2;21;16.31
2000;2;22;16.88
2000;2;23;16.44
2000;2;24;12.44
2000;2;25;11.75
2000;2;26;14.19
2000;2;27;14.06
2000;2;28;14.19
2000;2;29;13.94
2000;3;1;14.69
2000;3;2;11.75
2000;3;3;10.62
2000;3;4;9.12
2000;3;5;9.0
2000;3;6;9.25
2000;3;7;9.38
2000;3;8;9.81
2000;3;9;10.62
2000;3;10;9.75
2000;3;11;10.44
2000;3;12;10.12
2000;3;13;10.5
2000;3;14;12.12
2000;3;15;12.38
2000;3;16;13.38
2000;3;17;14.69
2000;3;18;15.88
2000;3;19;18.56
2000;3;20;11.62
2000;3;21;9.38
2000;3;22;8.38
2000;3;23;8.81
2000;3;24;9.75
2000;3;25;14.69
2000;3;26;25.56
2000;3;27;35.94
2000;3;28;35.19
2000;3;29;18.81
2000;3;30;13.88
2000;3;31;8.94
2000;4;1;6.75
2000;4;2;12.0
2000;4;3;35.12
2000;4;4;29.75
2000;4;5;18.25
2000;4;6;16.38
2000;4;7;32.69
2000;4;8;15.62
2000;4;9;15.94
2000;4;10;29.88
2000;4;11;31.88
2000;4;12;23.56
2000;4;13;30.25
2000;4;14;22.56
2000;4;15;21.75
2000;4;16;29.62
2000;4;17;13.0
2000;4;18;13.19
2000;4;19;17.0
2000;4;20;19.31
2000;4;21;37.25
2000;4;22;49.19
2000;4;23;40.94
2000;4;24;15.5
2000;4;25;16.56
2000;4;26;19.06
2000;4;27;16.44
2000;4;28;31.38
2000;4;29;51.12
2000;4;30;54.56
2000;5;1;44.31
2000;5;2;39.38
2000;5;3;36.19
2000;5;4;31.81
2000;5;5;24.94
2000;5;6;34.62
