Column1;Column2;Column3;Column4
-BEGIN HEADER-;;;
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ;;;
Dates (month/day/year): 01/01/1991 through 12/31/2010 ;;;
Location: Latitude  12.6193   Longitude -5.689 ;;;
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 330.65 meters;;;
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ;;;
Parameter(s): ;;;
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) ;;;
-END HEADER-;;;
YEAR;MO;DY;RH2M
1991;1;1;19.5
1991;1;2;21.88
1991;1;3;20.5
1991;1;4;18.56
1991;1;5;20.56
1991;1;6;19.62
1991;1;7;22.25
1991;1;8;23.12
1991;1;9;21.12
1991;1;10;21.25
1991;1;11;23.94
1991;1;12;24.0
1991;1;13;24.5
1991;1;14;23.94
1991;1;15;24.62
1991;1;16;22.62
1991;1;17;23.81
1991;1;18;26.0
1991;1;19;24.25
1991;1;20;21.62
1991;1;21;18.56
1991;1;22;21.88
1991;1;23;19.06
1991;1;24;17.5
1991;1;25;17.56
1991;1;26;21.19
1991;1;27;20.12
1991;1;28;18.12
1991;1;29;16.31
1991;1;30;14.44
1991;1;31;15.38
1991;2;1;14.19
1991;2;2;12.75
1991;2;3;12.5
1991;2;4;13.62
1991;2;5;17.12
1991;2;6;17.62
1991;2;7;14.88
1991;2;8;14.5
1991;2;9;14.88
1991;2;10;16.06
1991;2;11;14.31
1991;2;12;16.06
1991;2;13;17.12
1991;2;14;36.0
1991;2;15;44.19
1991;2;16;29.12
1991;2;17;23.81
1991;2;18;22.25
1991;2;19;21.12
1991;2;20;18.0
1991;2;21;21.81
1991;2;22;21.19
1991;2;23;17.56
1991;2;24;15.44
1991;2;25;16.06
1991;2;26;17.44
1991;2;27;15.19
1991;2;28;20.88
1991;3;1;34.5
1991;3;2;38.0
1991;3;3;26.12
1991;3;4;14.5
1991;3;5;13.38
1991;3;6;15.25
1991;3;7;18.94
1991;3;8;35.88
1991;3;9;39.0
1991;3;10;32.88
1991;3;11;27.31
1991;3;12;24.56
1991;3;13;36.12
1991;3;14;41.44
1991;3;15;42.56
1991;3;16;20.94
1991;3;17;15.69
1991;3;18;15.56
1991;3;19;14.44
1991;3;20;12.19
1991;3;21;14.38
1991;3;22;16.69
1991;3;23;24.94
1991;3;24;30.19
1991;3;25;21.75
1991;3;26;31.81
1991;3;27;38.5
1991;3;28;30.44
1991;3;29;28.0
1991;3;30;23.38
1991;3;31;27.31
1991;4;1;30.5
1991;4;2;32.69
1991;4;3;22.5
1991;4;4;17.06
1991;4;5;17.06
1991;4;6;15.44
1991;4;7;14.31
1991;4;8;13.19
1991;4;9;14.81
1991;4;10;11.75
1991;4;11;23.06
1991;4;12;17.5
1991;4;13;32.25
1991;4;14;39.44
1991;4;15;44.88
1991;4;16;41.94
1991;4;17;37.62
1991;4;18;62.94
1991;4;19;52.88
1991;4;20;46.25
1991;4;21;50.56
1991;4;22;50.12
1991;4;23;47.75
1991;4;24;58.25
1991;4;25;46.31
1991;4;26;41.0
1991;4;27;44.75
1991;4;28;48.12
1991;4;29;45.12
1991;4;30;40.69
1991;5;1;34.38
1991;5;2;15.12
1991;5;3;20.44
1991;5;4;35.0
1991;5;5;47.12
1991;5;6;50.88
1991;5;7;46.94
