Column1;Column2;Column3;Column4
-BEGIN HEADER-;;;
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ;;;
Dates (month/day/year): 01/01/2000 through 12/31/2019 ;;;
Location: Latitude  14.7   Longitude -16.483 ;;;
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 19.11 meters;;;
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ;;;
Parameter(s): ;;;
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) ;;;
-END HEADER-;;;
YEAR;MO;DY;RH2M
2000;1;1;59.0
2000;1;2;31.44
2000;1;3;36.06
2000;1;4;45.0
2000;1;5;55.62
2000;1;6;38.62
2000;1;7;32.88
2000;1;8;40.38
2000;1;9;41.44
2000;1;10;39.94
2000;1;11;46.12
2000;1;12;34.44
2000;1;13;30.94
2000;1;14;27.56
2000;1;15;28.19
2000;1;16;28.56
2000;1;17;32.75
2000;1;18;28.25
2000;1;19;28.69
2000;1;20;24.12
2000;1;21;27.5
2000;1;22;34.44
2000;1;23;28.25
2000;1;24;43.31
2000;1;25;37.12
2000;1;26;47.38
2000;1;27;41.0
2000;1;28;27.31
2000;1;29;28.06
2000;1;30;29.0
2000;1;31;23.56
2000;2;1;18.56
2000;2;2;21.62
2000;2;3;18.38
2000;2;4;16.56
2000;2;5;15.94
2000;2;6;16.25
2000;2;7;16.75
2000;2;8;18.5
2000;2;9;18.56
2000;2;10;15.0
2000;2;11;15.25
2000;2;12;16.81
2000;2;13;15.75
2000;2;14;13.25
2000;2;15;11.44
2000;2;16;11.56
2000;2;17;11.06
2000;2;18;12.38
2000;2;19;15.69
2000;2;20;23.31
2000;2;21;49.0
2000;2;22;50.38
2000;2;23;44.81
2000;2;24;46.31
2000;2;25;46.88
2000;2;26;41.88
2000;2;27;46.31
2000;2;28;44.69
2000;2;29;46.62
2000;3;1;45.88
2000;3;2;46.69
2000;3;3;46.44
2000;3;4;43.81
2000;3;5;41.88
2000;3;6;43.25
2000;3;7;35.38
2000;3;8;19.5
2000;3;9;21.25
2000;3;10;11.75
2000;3;11;12.81
2000;3;12;15.19
2000;3;13;13.25
2000;3;14;11.0
2000;3;15;12.19
2000;3;16;16.12
2000;3;17;20.88
2000;3;18;10.88
2000;3;19;15.06
2000;3;20;30.69
2000;3;21;44.0
2000;3;22;41.88
2000;3;23;38.5
2000;3;24;38.25
2000;3;25;42.06
2000;3;26;43.12
2000;3;27;37.44
2000;3;28;40.88
2000;3;29;45.19
2000;3;30;46.38
2000;3;31;41.81
2000;4;1;40.25
2000;4;2;46.81
2000;4;3;49.44
2000;4;4;43.62
2000;4;5;37.69
2000;4;6;38.88
2000;4;7;43.62
2000;4;8;40.62
2000;4;9;45.5
2000;4;10;43.12
2000;4;11;37.25
2000;4;12;26.06
2000;4;13;27.31
2000;4;14;19.31
2000;4;15;19.0
2000;4;16;33.62
2000;4;17;38.0
2000;4;18;49.88
2000;4;19;52.19
2000;4;20;43.5
2000;4;21;32.31
2000;4;22;11.56
2000;4;23;16.19
2000;4;24;40.88
2000;4;25;44.62
2000;4;26;48.31
2000;4;27;47.44
2000;4;28;38.69
2000;4;29;33.75
2000;4;30;39.38
2000;5;1;45.5
2000;5;2;50.69
2000;5;3;46.88
2000;5;4;41.38
2000;5;5;44.88
2000;5;6;42.44
