Cropping_situation;Crop;Asso_pure;Site;Year;Yields;N_fertilization_rate;Sowing_date;Sowing_density;PAWC;Soil_N_organic;Interrang;tot_rainfall;veg_rainfall;rep_rainfall;critical_rainfall;nb_days_60;nb_days_0;max_days_0
Sene_cowp_2000_N0;Cowpea;pure;Senegal;2000;0.38314;0;246;4.938;191.250;0.03;1.3;260.7;260.7;0;36.9;1;52;22
Sene_cowp_2001_N0;Cowpea;pure;Senegal;2001;0.32423;0;246;4.938;191.250;0.03;1.3;249.8;238.8;11;48.2;1;53;14
Sene_cowp_2002_N0;Cowpea;pure;Senegal;2002;0.10337;0;246;4.938;191.250;0.03;1.3;76.4;76.4;0;4.3;0;57;16
Sene_cowp_2003_N0;Cowpea;pure;Senegal;2003;0.36474;0;246;4.938;191.250;0.03;1.3;294.4;294.4;0;124.2;1;50;14
Sene_cowp_2004_N0;Cowpea;pure;Senegal;2004;0.30743;0;246;4.938;191.250;0.03;1.3;180.8;180.8;0;7.8;1;56;15
Sene_cowp_2005_N0;Cowpea;pure;Senegal;2005;0.3084;0;246;4.938;191.250;0.03;1.3;120.1;120.1;0;14.8;0;55;18
Sene_cowp_2006_N0;Cowpea;pure;Senegal;2006;0.30491;0;246;4.938;191.250;0.03;1.3;136.7;136.7;0;15.1;0;58;27
Sene_cowp_2007_N0;Cowpea;pure;Senegal;2007;0.31263;0;246;4.938;191.250;0.03;1.3;143.4;143.4;0;0;0;58;44
Sene_cowp_2008_N0;Cowpea;pure;Senegal;2008;0.3332;0;246;4.938;191.250;0.03;1.3;218.7;218.7;0;19.3;0;54;20
Sene_cowp_2009_N0;Cowpea;pure;Senegal;2009;0.32149;0;246;4.938;191.250;0.03;1.3;167.7;156.5;11.2;11.2;0;50;32
Sene_cowp_2010_N0;Cowpea;pure;Senegal;2010;0.34288;0;246;4.938;191.250;0.03;1.3;348.9;348.9;0;31.9;1;50;20
Sene_cowp_2011_N0;Cowpea;pure;Senegal;2011;0.31888;0;246;4.938;191.250;0.03;1.3;121;121;0;6.5;0;59;24
Sene_cowp_2012_N0;Cowpea;pure;Senegal;2012;0.27927;0;246;4.938;191.250;0.03;1.3;189.1;189.1;0;0;1;49;30
